,continent,subcontinent,country
32,Africa,Eastern_Africa,British_Indian_Ocean_Territory
37,Africa,Eastern_Africa,Burundi
50,Africa,Eastern_Africa,Comoros
62,Africa,Eastern_Africa,Djibouti
69,Africa,Eastern_Africa,Eritrea
71,Africa,Eastern_Africa,Ethiopia
116,Africa,Eastern_Africa,Kenya
131,Africa,Eastern_Africa,Madagascar
132,Africa,Eastern_Africa,Malawi
140,Africa,Eastern_Africa,Mauritius
141,Africa,Eastern_Africa,Mayotte
150,Africa,Eastern_Africa,Mozambique
181,Africa,Eastern_Africa,Réunion
184,Africa,Eastern_Africa,Rwanda
198,Africa,Eastern_Africa,Seychelles
205,Africa,Eastern_Africa,Somalia
221,Africa,Eastern_Africa,Tanzania
233,Africa,Eastern_Africa,Uganda
248,Africa,Eastern_Africa,Zambia
249,Africa,Eastern_Africa,Zimbabwe
6,Africa,Middle_Africa,Angola
39,Africa,Middle_Africa,Cameroon
43,Africa,Middle_Africa,Central_African_Republic
44,Africa,Middle_Africa,Chad
51,Africa,Middle_Africa,Republic_of_the_Congo
52,Africa,Middle_Africa,Democratic_Republic_of_the_Congo
68,Africa,Middle_Africa,Equatorial_Guinea
80,Africa,Middle_Africa,Gabon
194,Africa,Middle_Africa,São_Tomé_and_Príncipe
209,Africa,Middle_Africa,South_Sudan
3,Africa,Northern_Africa,Algeria
66,Africa,Northern_Africa,Egypt
125,Africa,Northern_Africa,Libya
149,Africa,Northern_Africa,Morocco
212,Africa,Northern_Africa,Sudan
228,Africa,Northern_Africa,Tunisia
246,Africa,Northern_Africa,Western_Sahara
29,Africa,Southern_Africa,Botswana
123,Africa,Southern_Africa,Lesotho
152,Africa,Southern_Africa,Namibia
206,Africa,Southern_Africa,South_Africa
215,Africa,Southern_Africa,Swaziland
23,Africa,Western_Africa,Benin
36,Africa,Western_Africa,Burkina_Faso
41,Africa,Western_Africa,Cape_Verde
55,Africa,Western_Africa,Côte_d'Ivoire
81,Africa,Western_Africa,Gambia
84,Africa,Western_Africa,Ghana
93,Africa,Western_Africa,Guinea
94,Africa,Western_Africa,Guinea-Bissau
124,Africa,Western_Africa,Liberia
135,Africa,Western_Africa,Mali
139,Africa,Western_Africa,Mauritania
159,Africa,Western_Africa,Niger
160,Africa,Western_Africa,Nigeria
186,Africa,Western_Africa,Saint_Helena
196,Africa,Western_Africa,Senegal
199,Africa,Western_Africa,Sierra_Leone
224,Africa,Western_Africa,Togo
7,Americas,Caribbean,Anguilla
9,Americas,Caribbean,Antigua_and_Barbuda
12,Americas,Caribbean,Aruba
16,Americas,Caribbean,Bahamas
19,Americas,Caribbean,Barbados
27,Americas,Caribbean,Bonaire
33,Americas,Caribbean,British_Virgin_Islands
42,Americas,Caribbean,Cayman_Islands
57,Americas,Caribbean,Cuba
58,Americas,Caribbean,Curaçao
63,Americas,Caribbean,Dominica
64,Americas,Caribbean,Dominican_Republic
88,Americas,Caribbean,Grenada
89,Americas,Caribbean,Guadeloupe
